timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-08-25,34.90000000,36.49000000,34.87000000,35.27000000,2472099.50000000,2022-08-25 23:59:59.999,88431667.95520000,162625,1221186.60000000,43687922.99330000,0
2022-08-26,35.26000000,35.79000000,31.36000000,31.72000000,5268727.97000000,2022-08-26 23:59:59.999,178600552.06640000,318521,2592740.53000000,87974523.18860000,0
2022-08-27,31.72000000,32.25000000,30.86000000,31.53000000,3025394.15000000,2022-08-27 23:59:59.999,95536331.79270000,193663,1516165.49000000,47883309.76780000,0
2022-08-28,31.53000000,32.21000000,30.19000000,30.44000000,2245087.33000000,2022-08-28 23:59:59.999,70747826.54210000,145442,1093280.93000000,34469515.00750000,0
2022-08-29,30.43000000,32.64000000,30.00000000,32.42000000,3758900.71000000,2022-08-29 23:59:59.999,117286548.98620000,219480,1949650.28000000,60828606.18300000,0
2022-08-30,32.42000000,33.16000000,30.64000000,31.47000000,3466845.37000000,2022-08-30 23:59:59.999,110580073.70360000,216107,1698099.28000000,54201251.90780000,0
2022-08-31,31.47000000,32.95000000,31.18000000,31.50000000,2705795.29000000,2022-08-31 23:59:59.999,87063572.74900000,194947,1348280.23000000,43397636.13650000,0
2022-09-01,31.49000000,31.79000000,30.44000000,31.61000000,2304167.56000000,2022-09-01 23:59:59.999,71765182.33550000,154540,1151920.81000000,35900280.76660000,0
2022-09-02,31.61000000,32.38000000,30.76000000,31.23000000,2327194.21000000,2022-09-02 23:59:59.999,73632569.00370000,145103,1159973.87000000,36716622.42820000,0
2022-09-03,31.23000000,31.29000000,30.80000000,31.12000000,773414.20000000,2022-09-03 23:59:59.999,24037613.05270000,56763,382336.82000000,11885333.77720000,0
2022-09-04,31.11000000,32.20000000,31.02000000,32.16000000,1302960.75000000,2022-09-04 23:59:59.999,41253531.36900000,87195,653632.51000000,20700972.49590000,0
2022-09-05,32.17000000,32.50000000,31.15000000,32.18000000,1545295.72000000,2022-09-05 23:59:59.999,49170515.55490000,104195,793522.10000000,25251158.63230000,0
2022-09-06,32.17000000,33.90000000,30.44000000,30.88000000,4663061.68000000,2022-09-06 23:59:59.999,150579456.24780000,289160,2295512.57000000,74228427.60040000,0
2022-09-07,30.88000000,32.94000000,30.31000000,32.69000000,2516005.51000000,2022-09-07 23:59:59.999,79529365.94340000,148862,1305768.57000000,41282560.59440000,0
2022-09-08,32.70000000,33.98000000,31.97000000,33.61000000,3062370.54000000,2022-09-08 23:59:59.999,100808683.47720000,197100,1614192.79000000,53159926.09930000,0
2022-09-09,33.62000000,35.96000000,33.59000000,34.67000000,3748304.00000000,2022-09-09 23:59:59.999,131064314.68000000,248404,1948001.54000000,68071310.13290000,0
